_ 1683581770872
altSeqLiftOverPsl hide
augustusGene hide
bismap dense
c chr7
cadd hide
caddDel hide
caddIns hide
cartVersion 3
centerLabels 1
clade mammal
cons100way hide
cons100wayViewalign.showCfg off
cons100wayViewelements.showCfg off
cons100wayViewphastcons.showCfg off
cons100wayViewphyloP.showCfg off
cytoBandIdeo dense
db hg19
dbSnp155Composite hide
dinkL 2.0
dinkR 2.0
displaySubtracks all
enableHighlightingDialog 1
exonNumbers 1
expOrder_cons100way phyloP100way 
expOrder_hub_113921_bigWig1 hub_113921_bigWig1 
expOrder_hub_1333141_bigWig1 hub_1333141_bigWig1 
expOrder_hub_1333141_bigWig2 hub_1333141_bigWig2 
expOrder_hub_4040575_H3K27Ac hub_4040575_H3K27Ac 
expOrder_hub_4040575_Input hub_4040575_Input 
expOrder_hub_4040575_TEAD1 hub_4040575_TEAD1 
expOrder_hub_4040575_YAP hub_4040575_YAP 
expOrder_wgEncodeReg wgEncodeRegMarkH3k27ac 
fixSeqLiftOverPsl hide
goButton go
gtexGeneV8 hide
gtexGeneV8.codingOnly 0
gtexGeneV8.label name
gtexGeneV8.logTransform 1
gtexGeneV8.scoreFilter 0
gtexGeneV8.showExons 0
gtexGeneV8.tissues adiposeSubcut
gtexGeneV8.tissues esophagusJunction
gtexGeneV8.tissues adiposeVisceral
gtexGeneV8.tissues esophagusMucosa
gtexGeneV8.tissues adrenalGland
gtexGeneV8.tissues esophagusMuscular
gtexGeneV8.tissues arteryAorta
gtexGeneV8.tissues fallopianTube
gtexGeneV8.tissues arteryCoronary
gtexGeneV8.tissues heartAtrialAppend
gtexGeneV8.tissues arteryTibial
gtexGeneV8.tissues heartLeftVentricl
gtexGeneV8.tissues bladder
gtexGeneV8.tissues kidneyCortex
gtexGeneV8.tissues brainAmygdala
gtexGeneV8.tissues kidneyMedulla
gtexGeneV8.tissues brainAnCinCortex
gtexGeneV8.tissues liver
gtexGeneV8.tissues brainCaudate
gtexGeneV8.tissues lung
gtexGeneV8.tissues brainCerebelHemi
gtexGeneV8.tissues minorSalivGland
gtexGeneV8.tissues brainCerebellum
gtexGeneV8.tissues muscleSkeletal
gtexGeneV8.tissues brainCortex
gtexGeneV8.tissues nerveTibial
gtexGeneV8.tissues brainFrontCortex
gtexGeneV8.tissues ovary
gtexGeneV8.tissues brainHippocampus
gtexGeneV8.tissues pancreas
